Номер дела,Дата,Оспариваемое рекламное объявление,Тег,Регион,Нарушение,Ссылка на закон,Решение по делу,Варианты ответа верное,Варианты ответа неверное,Итоговый ответ
4-14.3-103/00-08-15,26.02.2015,,недобросовестная реклама (+ недостоверная реклама),Москва и МО,"На рекламных щитах была фраза ""За кого играешь ты? Какой квас пить?"" и приводилась таблица, в которой указывались страны и наименования производителей кваса: ""Очаковский"" (Россия, ""Очаково""), ""Русский дар"" (США, PepsiCo), ""Хлебный край"" (Дания, ""Балтика""), ""Никола"" (Сейшельские острова, ""Дека""). При этом строка с названием кваса ""Очаковский"" выделена более крупным и жирным шрифтом.
По мнению ФАС, эта реклама дает основания потребителям полагать, что квас ""Очаковский"" превосходит квасную продукцию других компаний, произведенную за пределами России.","Согласно п.у 1 ч.  2 ст. 5 Федерального закона ""О рекламе"" недобросовестной признается реклама, которая содержит некорректные сравнения рекламируемого товара с находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами.
В соответствии с п.ом 1 ч.  3 ст. 5 Федерального закона ""О рекламе"" недостоверной признается реклама, которая содержит не соответствующие действительности сведения о преимуществах рекламируемого товара перед находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами.
","Признана ненадлежащей, выдано предписание о прекращении нарушения законодательства о рекламе и наложен административный  штраф в размере 100 000 рублей.","Верное: В данном случае в рекламе есть некорректное сравнение товара с товарами других производителей, что нарушает п. 1 ч. 2 ст. 5 ФЗ ""О рекламе"". Также она содержит недостоверную информацию о превосходстве кваса ""Очаковский"" над другими. Это является нарушением п. 1 ч. 2 ст. 5 ФЗ ""О рекламе"".","Неверное: В рекламе отсутствуют характеристики кваса других производителей, что вводит в заблуждение, так как в рекламе отсутствует необходимая для восприятия часть информации. Это является нарушением  ч. 7 ст. 5 ФЗ ""О рекламе"".","В рекламе строка с названием кваса ""Очаковский"" выделена более крупным и жирным шрифтом, что дает основания потребителям полагать, что квас ""Очаковский"" превосходит квасную продукцию других компаний, произведенную за пределами России. Некорректное сравнение рекламируемого товара с другими и несоответствие действительности сведений о преимуществах рекламируемого товара запрещено п. 1 ч. 2 и п. 1 ч. 3 ст. 5 ФЗ ""О рекламе"". Рекламодателю был назначен штраф в размере 100 000 рублей.
Подробнее о деле: https://goo.su/Hh02O"
08/04/14.3-17/2019 ,1 февраля 2019,,недобросовестная реклама (+ отсутствует часть существенной информации),,"Использованное в рекламе утверждение «Гексорал. Болезнетушитель № 1» в отношении лекарственного препарата «Гексорал» указывает на превосходство данного препарата в сравнении с другими товарами, поскольку «№ 1» подразумевает, что рекламируемый товар является первым из числа других однородных товаров, обладая более высокими достоинствами и преимуществом перед ними. Форма и условия размещения рекламы не позволяют потребителям воспринять (прочитать) текст с критериями, обосновывающими утверждение № 1, ввиду мелкого шрифта и краткого времени показа. Соответственно, потребители не получают информацию о критериях сравнения, на основании которых утверждается о превосходстве лекарственного препарата «Гексорал», над продукцией других производителей, что искажает смысл рекламы и вводит потребителей в заблуждение.","В соответствии с п.ом 1 ч.  2 ст. 5 Федерального закона «О рекламе» недобросовестной признается реклама, которая содержит некорректные сравнения рекламируемого товара с находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами.
В соответствии с частью 7 ст. 5 Федерального закона «О рекламе» не допускается реклама, в которой отсутствует часть существенной информации о рекламируемом товаре, об условиях его приобретения или использования, если при этом искажается смысл информации и вводятся в заблуждение потребители рекламы.","Признана ненадлежащей, выдао предписание о прекращении нарушения законодательства о рекламе и наложен административный штраф в размере 200 000 рублей","Верное: В данном случае в рекламе есть некорректное сравнение товара с товарами других производителей. «Гексорал» указывает на превосходство данного препарата в сравнении с другими товарами, а также из-за маленького шрифта не позволяет потребителям получить информацию о критериях сравнения, что недопустимо и является нарушением п. 1 ч. 2 ст. 5 и ч. 7 ст. 5 ФЗ ""О рекламе"".","Неверное: В рекламе имеется указание только на ознакомление с инструкцией, не хватает надписи ""необходимо проконсультироваться со специалистом"". В рекламе отсутствует часть существенной информации - предупреждения. Это является нарушением ч. 7 ст. 24 ФЗ ""О рекламе"".","В рекламе используется утверждение «Болезнетушитель №1», указывающее на превосходство данного препарата в сравнении с другими товарами. Однако критерии сравнения прописаны мелким шрифтом, что не позволяет потребителям получить эту информацию и искажает смысл рекламы. Таким образом, реклама нарушает п. 1 ч. 2 и ч. 7 ст. 5 ФЗ ""О рекламе"". В качестве наказания был наложен административный штраф в размере 200 000 рублей.
Подробнее о деле: https://goo.su/ILmQR0
"
3-5-17/00-08-19,16 мая 2019,"""РЕГ.РУ | Регистратор N1 в России  Домены в зоне. САЙТ со скидкой до 67%...""",недобросовестная реклама (+ отсутствует часть существенной информации),,"Использованное в рекламе утверждение «Регистратор N1 в России» указывает на превосходство компании в сравнении с другими регистраторами доменных имен. При этом в рекламе нет информации о критериях сравнения, на основании которых это утверждение сделано, что искажает смысл рекламы и вводит потребителей в заблуждение.","В соответствии с п.ом 1 ч.  2 ст. 5 Федерального закона «О рекламе» недобросовестной признается реклама, которая содержит некорректные сравнения рекламируемого товара с находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами.
В соответствии с частью 7 ст. 5 Федерального закона «О рекламе» не допускается реклама, в которой отсутствует часть существенной информации о рекламируемом товаре, об условиях его приобретения или использования, если при этом искажается смысл информации и вводятся в заблуждение потребители рекламы.",Признана ненадлежащей и назначено административное наказание в виде предупреждения за совершение административного правонарушения,"Верное: В данном случае в рекламе есть некорректное сраневние товара с товарами других производиетелей. «Регистратор N1 в России» указывает на превосходство регистратора доменных имен в сравнении с другими, поскольку «№1» подразумевает, что рекламируемая компания вляется первой из числа других, что недопустимо и является нарушением п. 1 ч.  2 ст. 5 ФЗ ""О рекламе""","Неверное: В рекламе нет уточнения касательно процесса регистрации домена, что является вводящим в заблуждение и нарушает часть 7 ст. 5 ФЗ ""О рекламе"", поскольку в рекламе направленной на регистрацию чего-либо в интернете должна быть опредленная инструкция по работе с сервисом.","Реклама содержит утверждение «Регистратор №1 в России», указывающее на превосходство компании в сравнении с другими регистраторами доменных имен. При этом в рекламе нет информации о критериях сравнения, на основании которых это утверждение сделано, что искажает смысл рекламы и вводит потребителей в заблуждение, нарушая п. 1 ч. 2 и часть 7 ст. 5 ФЗ ""О рекламе"". За нарушение законодательства было назначено административное наказание в виде предупреждения.
Подробнее о деле: https://goo.su/D7CMNz"
3-5-63/00-08-17,13 февраля 2018,Реклама МТС «Не мучайся со старым ТВ. Переходи на спутник».,недобросовестная реклама,,"Соответственно указание на то, что эфирное телевидение является устаревшим, требующим немедленной замены на более современное спутниковое телевидение, не соответствует фактическим обстоятельствам относительно функциональных характеристик эфирных антенн. При данных обстоятельствах сравнение спутникового телевидения МТС и эфирного телевидения является некорректным.","Согласно п.у 1 ч.  2 ст. 5 Федерального закона «О рекламе» недобросовестной признается реклама, которая содержит некорректные сравнения рекламируемого товара с находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами.","Признана ненадлежащей, выдано предписание о прекращении нарушения законодательства РФ о рекламе и назнчаен административный штраф в размере 100 000 рублей","Верное: Реклама содержит некорректное сравнение эфирного телевидения и спутникового, так как первое является устаревшим, требующим немедленной замены на более современное. Это вводит в заблуждение потребителей рекламы и нарушает п. 1 ч. 2 ст. 5 ФЗ ""О рекламе"".","Неверное: В рекламе отсутствует часть существенной информации, что делает транслируемую информацию неполноценной, нарушая ч. 7 ст. 5 ФЗ ""О рекламе"".","В рекламе используется некорректное сравнение эфирного и спутникового телевидения: присутствует указание на то, что эфирное телевидение является устаревшим, требующим немедленной замены, что не соответствует фактическим обстоятельствам. Реклама недобросовестная и нарушает п. 1 ч. 2 ст. 5 ФЗ ""О рекламе"". Рекламодателю назначен административный штраф в размере 100 000 рублей.
Подробнее о деле: https://goo.su/SMzrh
"
06-60/16,23 июня 2016,,недобросовестная реклама (+недостоверная реклама),Новосибирск,"Надпись: «GUTMANBARBERSHOP _ Первая нормальная парикмахерская! _ Запишись сейчас! 299-10-90 _ Борода _ Стрижка _ Чай и кофе _ Компания _ Можно покрепче». В рекламе содержится некорректное сравнение рекламируемого товара и услуг «Первая нормальная парикмахерская»с другими организациями, оказывающими парикмахерские услуги в г. Новосибирске, способна вызвать неверные представления у потребителей относительно объекта рекламирования и отрицательно повлиять на осознанный выбор парикмахерской, в том числе путем указания некорректных сведений о конкурентах.","В соответствии с п.1 ч.2 ст.5 Закона о рекламе, недобросовестной признается реклама, которая содержит некорректные сравнения рекламируемого товара с находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами.
Согласно п.1 ч.3 ст.5 Закона о рекламе, недостоверной признается реклама, которая содержит не соответствующие действительности сведения о преимуществах рекламируемого товара перед находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами.
Кроме того, согласно ч. 11 ст.5 Закона о рекламе, при производстве, размещении и распространении рекламы должны соблюдаться требования законодательства Российской Федерации, в том числе требования гражданского законодательства, законодательства о государственном языке Российской Федерации.","Признана ненадлежащей, наложен административный штраф в размере 100 000 рублей","Верное: Реклама содержит слоган ""Первая нормальная парикмахерская!"", который означает превосходство рекламируемой компании по сравнению с другими без указания конкретных критериев. Это является нарушением согласно п. 1 ч. 2 ст. 5 ФЗ ""О рекламе"". ","Неверное: В рекламе используются иностранные слова, которые, более того, искажены дизайном, что мешает восприятию информации и вводит в заблуждение. Это нарушает п. 1 ч. 5 ст. 5 ФЗ ""О рекламе"".","В рекламе содержится выражение «Первая нормальная парикмахерская», что указывает на преимущества рекламируемых услуг в сравнении с другими организациями. Указание некорректных сведений о конкурентах может ввести потребителей в заблуждение. Некорректное сравнение и несоответствие сведений действительности запрещены п. 1 ч. 2  и п. 1 ч. 3 ст. 5 ФЗ ""О рекламе"". По результатам судебного разбирательства был наложен административный штраф в размере 100 000 рублей.
Подробнее о деле: https://goo.su/96Z9n
"
 3-5-62/00-08-13,2 сентября 2013,,недобросовестная реклама,,"Рекламное утверждение «Телеканал «Муз-ТВ» - главный музыкальный канал» не содержит конкретных сведений о преимуществах рекламируемого товара перед находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами.","Согласно п.у 1 ч.  2 ст. 5 Федерального закона «О рекламе» недобросовестной признается реклама, которая содержит некорректные сравнения рекламируемого товара с находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами.","Признана ненадлежащей, выдано предписание о прекращении нарушения законодательства и наложен административный штраф в размере 100 000 рублей","Верное: «Главный музыкальный канал» указывает на превосходство рекламируемого канала перед другими без указания критериев сравнения, что недопустимо и является нарушением п. 1 ч. 2 ст. 5 ФЗ ""О рекламе"".","Неверное:  В рекламе не содержится указания на то, как можно получить доступ к ресурсам музыкального канала, что свидетельствует об отсутствии части важной информации. Реклама нарушает ч. 7 ст. 5 ФЗ ""О рекламе"".","Рекламное утверждение «Телеканал «Муз-ТВ» - главный музыкальный канал» не содержит конкретных сведений о преимуществах рекламируемого товара перед находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами. Данная реклама нарушает п. 1 ч. 2 ст. 5 ФЗ ""О рекламе"". На рекламодателя был наложен административный штраф в размере 100 000 рублей.
Подробнее о деле: https://goo.su/zrZl4 "
Р-127/2014,26 ноября 2014,«Эдик ЛОПУХ! Купил ОКНО за 10500! А у нас дешевле! Можно в рассрочку!».,недобросовестная реклама (+ недостоверная реклама),Амурская область,"Данная реклама наносит вред деловой репутации ЗАО «Окна-Эталон», поскольку указывает на стоимость металлопластикового окна – 10 500 рублей, рекламируемую заявителем, а также содержит оскорбительное высказывание по отношению к лицам, приобретшим окна по указанной стоимости, что является актом недобросовестной конкуренции. ","В соответствии с п.ми 1, 2, 4 ч.  2 ст. 5 Федерального закона «О рекламе» недобросовестной признается реклама, которая: содержит некорректные сравнения рекламируемого товара с находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами (п. 1); порочит честь, достоинство или деловую репутацию лица, в том числе конкурента (п. 2); является актом недобросовестной конкуренции в соответствии с антимонопольным законодательством (п. 4). В силу п. 1 ч.  3 ст. 5 Федерального закона «О рекламе» недостоверной признается реклама, которая содержит не соответствующие действительности сведения о преимуществах рекламируемого товара перед находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами.",Признана ненадлежащей и наложен административный штраф в размере 100 000 рублей,"Верное: Реклама содержит оскорбительное высказывание по отношению к лицам, приобретшим товар по указанной стоимости, и вредит деловой репутации компании. Является актом недобросовестной конкуренции и нарушает п. 1, 2, 4, ч. 2, ст. 5 ФЗ ""О рекламе"".","Неверное: Реклама формирует негативное отношение к лицам, которые приобрели товар у конкурента за указанную стоимость, и осуждает их: ""Эдик ЛОПУХ! Купил ОКНО за 10500!"". Реклама нарушает п. 4 ч. 4 ст. 5 ФЗ ""О рекламе"".","Данная реклама содержит оскорбительное высказывание по отношению к лицам, приобретшим окна по указанной стоимости (10500), что является актом недобросовестной конкуренции и вредит деловой репутации конкурентов. Кроме того, в рекламе используется некорректное сравнение. Таким образом, реклама нарушает п. 1, 2, 4 ч. 2 и п. 1 ч. 3 ст. 5 ФЗ ""О рекламе"". За несоблюдение законодательства был назначен административный штраф в размере 100 000 рублей.
Подробнее о деле: https://goo.su/mdBHfFl "
РЦ.08.12.41,8 ноября 2012,,недобрососветная реклама,,Реклама содержит некорректное сравнение по сравнению с другими бензопилами и порочит деловую репутацию других производителей.,"Согласно п.у 1 ч.  2 ст. 5 Федерального закона «О рекламе» недобросовестной признается реклама, которая содержит некорректные сравнения рекламируемого товара с находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами.",Признана ненадлежащей и выдано предписание о прекращении нарушения законодательства о релкаме,"Верное: Содержит некорректное сравнение рекламируемого товара с другими товарами без конкретных критериев сравнения, косвенно указывая на то, что другие продавцы бензопил торгуют товарами-подделками, которые не имеют достойного качества. Это является нарушением п. 1 ч. 2 ст. 5 ФЗ ""О рекламе"".","Неверное: В рекламе есть фраза ""Выбери себе ствол"", которая способна ввести людей в заблуждение. Потребители могут подумать о выборе оружия, следовательно, реклама призывает к насилию и жестокости и нарушает п. 2 ч. 4 ст. 5 ФЗ ""О рекламе"".","Реклама содержит некорректное сравнение по сравнению с другими бензопилами, утверждая, что товары других производителей могут оказаться подделкой (""Остерегайтесь подделок!"") и не быть достойного качества, нарушая п. 1 ч. 2 ст. 5 ФЗ ""О рекламе"".
Подробнее о деле: https://goo.su/pGkf1 "
18-03-14.3-02/549,13 сентября 2018,,недобросовестная реклама,Волгоградская область,"Реклама содержит некорректное сравнение лекарств, продаваемых в аптеках «Волгофарм», с лекарствами, продаваемыми в других аптеках, что порочит деловую репутацию конкурентов аптечной сети на рынке реализуемых лекарственных препаратов.","Согласно п.у 1 ч.  2 ст. 5 Федерального закона «О рекламе» недобросовестной признается реклама, которая содержит некорректные сравнения рекламируемого товара с находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами. Согласно п.у 2 ч.  2 частьи 5 Федерального закона "" О рекламе"" недобросовестной признается реклама, которая порочит честь, достоинство или деловую репутацию лица, в том числе конкурента",Признана ненадлежащей и наложен штраф в размере 50 000 рублей,"Верное: Реклама содержит некорректное сравнение лекарств, продаваемых в ""проверенной аптеке"", с препаратами, которыми торгуют другие аптеки, что порочит репутацию конкурентов рекламируемой аптечной сети. Это является нарушением п. 1 ч. 2 и п. 2 ч. 3 ст. 5 ФЗ ""О рекламе"".","Неверное: Рекламный билборд расположен над проезжей частью и своим ярким видом угрожает безопасности движения автомобильного транспорта, что нарушает п. 3 ч. 4 ст. 5 ФЗ ""О рекламе"".","Реклама содержит некорректное сравнение лекарств, продаваемых в ""проверенной аптеке"", с препаратами, которыми торгуют другие аптеки, что порочит репутацию конкурентов рекламируемой аптечной сети. Данная реклама нарушает п. 1, 2 ч. 2 ст. 5 ФЗ ""О рекламе"". В результате судебного разбирательства был наложен административный штраф в размере 50 000 рублей.
Подробнее о деле: https://goo.su/ebCcZG"
7679/04-01 ,29.06.2015,"""Методика кинезотерапии Бубновского настолько популярна, что появилось много центров-двойников, будьте внимательны, в Ярославле обращайтесь в центр на Республиканской по телефону 370-070"".",недобросовестная реклама,Ярославская область,"Реклама способствует созданию неверного впечатления относительно законности и правомерности оказания другими центрами в г. Ярославле услуг лечения по методу доктора Бубновского, что порочит честь, достоинство и деловую репутацию указанных центров","Согласно п.у 1 ч.  2 ст. 5 Федерального закона «О рекламе» недобросовестной признается реклама, которая содержит некорректные сравнения рекламируемого товара с находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами. Согласно п.у 2 ч.  2 частьи 5 Федерального закона "" О рекламе"" недобросовестной признается реклама, которая порочит честь, достоинство или деловую репутацию лица, в том числе конкурента","Признана ненадлежащей, выдано предписание о прекращении нарушения законодательства о рекламе и наложен штраф в размере 100 000 рублей","Верное: Реклама способствует созданию неверного впечатления о законности и правомерности оказания медицинских услуг другими центрами в г. Ярославле по методу доктора Бубновского, что порочит честь, достоинство и деловую репутацию этих центров, нарушая п. 1, 2 ч. 2 ст. 5 ФЗ ""О рекламе"".","Неверное: Реклама содержит недостоверные сведения о рекомендации и одобрении объекта рекламирования физическим лицом (в данном случае доктора Бубновского). Нарушает п. 3 ч. 10 ст. 5 ФЗ ""О рекламе"".","Реклама способствует созданию неверного впечатления относительно законности и правомерности оказания другими центрами в г. Ярославле услуг лечения по методу доктора Бубновского (за счет использования выражения ""центры-двойники""), что порочит честь, достоинство и деловую репутацию указанных центров. Данная реклама нарушает п. 1, 2 ч. 2 ст. 5 ФЗ ""О рекламе"".
Суд назначил рекламодателю административный штраф в размере 100 тыс. рублей.
Подробнее о деле: https://goo.su/wqG8RAj
"
3-5-187/77-18,23 августа 2018,,недобросовестная реклама (+ недостоверная реклама),Москва,Использование в спорной рекламе выражения «Лучший выбор; лучшие цены» направлено на распространение позитивной информации в отношении рекламируемого торгового предприятия путем некорректного сравнения с другими торговыми предприятиями,"Согласно ч.  7 ст. 5 Закона о рекламе не допускается реклама в которой отсутствует часть существенной информации о рекламируемом товаре, об условиях его приобретения или использования, если при этом искажается смысл информации и вводятся в заблуждение потребители рекламы. Согласно п.у 1 ч.  3 ст. 5 Закона о рекламе недостоверной признается реклама, которая содержит не соответствующие действительности сведения о преимуществах рекламируемого товара перед находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами. Согласно п.у 1 ч.  2 ст. 5 Федерального закона «О рекламе» недобросовестной признается реклама, которая содержит некорректные сравнения рекламируемого товара с находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами. ","Признана ненадлежащей, выдано предписание о прекращении нарушения законодательства о рекламе","Верное: Реклама содержит утверждение о преимуществе данного магазина перед другими представителями рынка, которое основывается на несоответствующей действительности информации, и нарушает п. 1 ч. 3 ст. 5 ФЗ ""О рекламе"". Также в рекламе отсутствует часть существенной информации, что является нарушением ч. 7 ст. 5 ФЗ ""О рекламе"".","Неверное: Рекламная фраза ""Лучший выбор"" формирует негативное отношение к лицам, не пользующимся рекламируемым товаром, указывая на то, что другие люди получают услуги более низкого качества, что нарушает п. 4 ч. 4 ст. 5 ФЗ ""О рекламе"".","В рекламе используется слоган «Лучший выбор; лучшие цены», который указывает на превосходство рекламируемого торгового предприятия перед другими путем недостоверности критериев сравнения и отсутствия части существенной информации, которая может ввести потребителей в заблуждение. Таким образом, реклама нарушает п. 1 ч. 3 и ч. 7 ст. 5 ФЗ ""О рекламе"".
Подробнее о деле: https://goo.su/ZJFs "
