Номер дела,Дата,Оспариваемое рекламное объявление,Тег,Регион,Нарушение,Ссылка на закон,Решение по делу,Варианты ответа верное,Варианты ответа неверное,Итоговый ответ
1012-ФАС52-07/15,16 сентября 2015,"«SEVEN Приятно экономить, фрукты черешня 179 руб. 99 коп., а в Ашан (изображен логотип Ашан) 362 руб. 99 коп.»

«SEVEN Приятно экономить, фрукты персик 179 руб. 90 коп. (а в Ашан (изображен логотип Ашан) 214 руб. 99 коп.

«SEVEN Приятно экономить, фрукты нектарин 179 руб. 90 коп. (а в Ашан (изображен логотип Ашан) 216 руб. 99 коп.",недобросовестная реклама,Нижний Новгород,"При сравнении цен в рекламе отсутствуют существенные характеристики товара, а именно: страна производитель, сорт, дата поступления товара, срок годности, и другие. ","Согласно п.у 1 ч.  2 ст. 5 Федерального закона «О рекламе» недобросовестной признается реклама, которая содержит некорректные сравнения рекламируемого товара с находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами.","Признана ненадлежащей, выдано предписание о прекращении нарушения законодательства о рекламе","Верное: При сравнении цен продукции рекламируемого магазина с конкурентом (Ашан) не указываются существенные характеристики товаров, что нарушает п. 1 ч. 2 ст. 5 ФЗ ""О рекламе"".","Неверное: Использование при сравнении логотипа Ашана рекламируемым магазином нарушает авторское право, соответственно, данная реклама нарушает ч. 11 ст. 5 ФЗ ""О рекламе"".","При сравнении цен в рекламе отсутствуют существенные характеристики товара, а именно: страна-производитель, сорт, дата поступления товара, срок годности и другие. Реклама использует некорректное сравнение путем упущения важных характеристик товаров, что является нарушением п. 1 ч. 2 ст. 5 ФЗ ""О рекламе"".
Подробнее о деле: https://goo.su/eDSEb
"
3-5-186/77-18,28 сентября 2018,,недобросовестная реклама (+недостоверная реклама),Москва,"Реклама содержит утверждение о том, что музеи и аттракционы ИП Дружининой Д.Н. лучшие. В рассматриваемой рекламе отсутствует указание на конкретный критерий, с помощью которого указанная информация может быть подтверждена или опровергнута объективными данными и по которому возможно осуществить сравнение качества музеев и аттракционов ИП Дружининой Д.Н., с качеством услуг, предоставляемых иными музеями и аттракционами, а следовательно отсутствует возможность сделать вывод о достоверности утверждения, что «музеи и аттракционы ИП Дружининой Д.Н. лучшие»","Согласно п.у 1 ч.  2 ст. 5 Федерального закона «О рекламе» недобросовестной признается реклама, которая содержит некорректные сравнения рекламируемого товара с находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами. ","Признана ненадлежащей, выдано предписание о прекращении нарушения законодательства о рекламе","Верное: Реклама содержит утверждение о том, что музеи и аттракционы ИП Дружининой Д.Н. являются лучшими. Это не подтверждается фактами и конкретными объективными критериями, что является нарушением п. 1 ч. 2 ст. 5 ФЗ “О рекламе”. ","Неверное: Реклама аттракциона под названием ""Побег из тюрьмы"" призывает к совершению противоправных действий, что является нарушением п. 1 ч. 4 ст. 5 ФЗ “О рекламе”.","В рекламе содержится утверждение, что музеи и аттракционы ИП Дружининой Д.Н. лучшие. Однако отсутствует указание на конкретный критерий, с помощью которого указанная информация может быть подтверждена и по которому возможно осуществить сравнение качества музеев и аттракционов ИП Дружининой Д.Н. с другими. Поэтому отсутствует возможность сделать вывод о достоверности утверждения, о превосходстве рекламируемого товара. Реклама нарушает п. 1 ч. 2 ст. 5 ФЗ ""О рекламе"".
Подробнее о деле: https://goo.su/KMQcrsS
"
08-05-16/04,18 февраля 2016,,недобрососветная реклама,Мурманск,"Реклама «РАЗВОРАЧИВАЙТЕСЬ! Новый дилер Renault г. Мурманск, ул. Свердлова, д.11, тел.690000» была размещена на баннере в 200 метрах от автосалона конкурента ООО «Рено-Мурманск». Текст рекламы создавал впечатление у потребителя рекламы, что деятельность по продаже и обслуживанию автомобилей Renault по адресу пр. Кольский110Б, в г. Мурманске больше не осуществляется и теперь необходимо обращаться к новому дилеру по указанному в рекламе адресу","Согласно п.у 4 ч.  2 ст. 5 Закона о рекламе недобросовестной признается реклама, которая является актом недобросовестной конкуренции в соответствии с антимонопольным законодательством. В силу ч.  7 ст. 5 Закона о рекламе не допускается реклама, в которой отсутствует часть существенной информации о рекламируемом товаре, об условиях его приобретения или использования, если при этом искажается смысл информации, и вводятся в заблуждение потребители рекламы.","Признана ненадлежащей, выдано предписание о прекращении нарушения законодательства о рекламе и наложен штраф за нарушение законодательства о рекламе в размере 110 000 рублей","Верное: Рекламная фраза ""РАЗВОРАЧИВАЙТЕСЬ! Новый диллер..."" создает впечатление, что автосалоны, расположенные рядом, больше не осуществляют деятельность по продаже и обслуживанию автомобилей, и призывает обращаться к новому диллеру. Это вводит потребителей рекламы в заблуждение, что нарушает ч. 7 ст. 5 и п. 4 ч. 2 ст. 5 ФЗ ""О рекламе"".","Неверное: Яркий рекламный билборд содержит кричащую надпись ""РАЗВОРАЧИВАЙТЕСЬ!"", которая может напугать водителей, угрожая безопасности движения автомобильного транспорта, поэтому реклама нарушает п. 3 ч. 4 ст. 5 ФЗ ""О рекламе"".","Рекламная фраза ""РАЗВОРАЧИВАЙТЕСЬ! Новый диллер..."" создает впечатление, что автосалоны, расположенные рядом, больше не осуществляют деятельность по продаже и обслуживанию автомобилей, и призывает обращаться к новому диллеру, что является актом недобросовестной конкуренции. Отсутствие части  существенной информации также вводит потребителей в заблуждение, поэтому реклама нарушает п. 4 ч. 2 и ч. 7 ст. 5 ФЗ ""О рекламе"". В результате судебного разбирательства был назначен административный штраф в размере 110 000 рублей.
Подробнее о деле: https://goo.su/VZG2 "
63,10 июня 2016,«Плитка. Керамогранит. Сантехника. Мозайка. ТЦ Мой Дом» Данный текст сопровождается изображением персонажа мультфильма «Малыш и Карлсон» - Фрекен Бок. ,недобросовестная реклама,Ставропольский край,"В данном случае образ персонажа мультфильма «Малыш и Карлсон» - Фрекен Бок является интеллектуальной собственностью, которой предоставляется правовая охрана (интеллектуальная собственность). Законом не допускается продажа, обмен или иное введение в оборот товара, если при этом незаконно использовались результаты интеллектуальной деятельности.","В соответствии с п.ом 4 ч.  2 ст. 5 Федерального закона от 13.03.2006 №38-ФЗ «О рекламе», недобросовестной признается реклама, которая является актом недобросовестной конкуренции в соответствии с антимонопольным законодательством.

В соответствии с частью 11 ст. 5 Федерального закона от 13.03.06 №38-ФЗ ""О рекламе"", при производстве, размещении и распространении рекламы должны соблюдаться требования законодательства Российской Федерации, в том числе требования законодательства о государственном языке Российской Федерации, законодательства об авторском праве и смежных правах.","Признана ненадлежащей, выдано предписание о нарушении законодательства о рекламе и наложен штраф в размере 4 000 рублей","Верное: В рекламе незаконно использовался результат интеллектуальной деятельности - персонаж Фрекен Бок, что является актом недобросовестной конкуренции (п. 4 ч. 2 ст. 5 ФЗ ""О рекламе"") и несоблюдения законодательства РФ (ч. 11 ст. 5 ФЗ ""О рекламе"").","Неверное: В рекламе строительных товаров используется образ Фрекен Бок, что воспринимается потребителями рекламы как оскорбление персонажа, который совершенно не связан со строительством. Такая реклама нарушает ч. 6 ст. 5 ФЗ ""О рекламе"". ","Образ персонажа мультфильма «Малыш и Карлсон» - Фрекен Бок является интеллектуальной собственностью, которой предоставляется правовая охрана. Согласно законодательству РФ, не допускается продажа, обмен или иное введение в оборот товара, если при этом незаконно использовались результаты интеллектуальной деятельности. В рекламе незаконно использовался персонаж Фрекен Бок, что является актом недобросовестной конкуренции. Таким образом, реклама нарушает п. 4 ч. 2 и ч. 11 ст. 5 ФЗ ""О рекламе"". За нарушение законодательства на рекламодателя был наложен административный штраф в размере 4 000 рублей. Подробнее о деле: https://goo.su/B5g4V"
08/05/5-26/2021,17 мая,,"недобросовестная реклама (+ неэтичная реклама, употребление алкогольной продукции, несовершеннолетние, отуствует наименование оказывающего банковские услуги лица)",Москва,"1. Использованное в рекламе утверждение «лучший банк страны» в отношении АО «Альфа-Банк», указывает на превосходство данного банка в сравнении с другими банками, поскольку «лучший» подразумевает, что субъект рекламирования является первым из числа других однородных субъектов, обладая более высокими достоинствами и преимуществом перед ними. В рекламе отсутствует информация о критериях сравнения, на основании которых утверждается о превосходстве АО «Альфа-Банк» над другими банками, что искажает смысл рекламы и вводит потребителей в заблуждение.","В соответствии с п.ом 1 ч.  2 ст. 5 Федерального закона «О рекламе» недобросовестной признается реклама, которая содержит некорректные сравнения рекламируемого товара с находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами.

","Признана ненадлежащей, выдано предписание о прекращении законодательства о рекламе, наложен административный штраф в размере 100 000 рублей (Моргенштерну выдано предупреждение)","Верное: Использованное в рекламе утверждение «лучший банк страны» в отношении АО «Альфа-Банк», указывает на превосходство данного банка в сравнении с другими, что является нарушением п. 1 ч. 2 ст. 5 ФЗ ""О рекламе"".","Неверное: Нестатичная съемка рекламного ролика мешает его восприятию потребителем и нарушает п. 6 ч. 7 ст. 5 ФЗ ""О рекламе"".","Использованное в рекламе утверждение «лучший банк страны» в отношении АО «Альфа-Банк», указывает на превосходство данного банка в сравнении с другими банками, поскольку «лучший» подразумевает, что субъект рекламирования является первым из числа других однородных субъектов, обладая более высокими достоинствами и преимуществом перед ними.
Подробнее о деле: https://goo.su/oLlaHKX"
67/Р-2015,12 августа 2015,"«Почему Стройбат, а не Доминго», «Сравни в Доминго и приходи в Интерпол».",недобросовестная реклама (+ недостоверная реклама),Кемеровская область,"В рекламе содержится некорректное сравнение рекламируемого товара и услуг магазина ""Доминго"" с магазинами ""Стройбат"" и ""Интерпол"", что подразумевает предоставление услуг и товаров магазином ""Доминго"" более низкого качества. В тексте вышеуказанной рекламы содержатся не соответствующие действительности сведения о преимуществах рекламируемого товара перед находящимися в обороте товарами других продавцов
","п.ом 1 ч.  2 ст. 5 ФЗ ""О рекламе"" установлено, что недобросовестной признается реклама, которая содержит некорректные сравнения рекламируемого товара с находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами.
п.ом 1 ч.  3 ст. 5 ФЗ ""О рекламе"" установлено, что недостоверной признается реклама, которая содержит не соответствующие действительности сведения о преимуществах рекламируемого товара перед находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами.
","Признана ненадлежащей, наложен административный штраф в размере 2 000 рублей","Верное: В рекламе используется некорректное сравнение услуг рекламируемых магазинов ""Стройбат"" и ""Интерпол"" с конкурентом - ""Доминго"", что является нарушением п. 1 ч. 2 и п. 1 ч. 3 ст. 5 ФЗ ""О рекламе"".","Неверное: Реклама формирует негативное отношение к лицам, не пользующимся услугами ""Стройбата"" и ""Интерпола"", поскольку косвенно указывается на то, что клиенты ""Доминго"" получают товары более низкого качества из-за превосходства рекламируемых магазинов, что является нарушением п. 4 ч. 4 ст. 5 ФЗ ""О рекламе"".","В рекламе содержится некорректное сравнение рекламируемого товара и услуг магазина ""Доминго"" с магазинами ""Стройбат"" и ""Интерпол"", что подразумевает предоставление услуг и товаров магазином ""Доминго"" более низкого качества. Реклама содержит не соответствующие действительности сведения о преимуществах рекламируемого товара перед другими, поэтому она нарушает п. 1 ч. 2 и п. 1 ч. 3 ст. 5 ФЗ ""О рекламе"". На рекламодателя был наложен штраф в размере 2 000 рублей. Подробнее о деле: https://goo.su/vnPU9c"
08/05/5-49/2019,27 июня 2019,,недобрососветная реклама,,"Утверждение «Бренд №1» указывает на превосходство продукции этого производителя в сравнении с другими товарами. Однако важная информация о критериях такого сравнения является некорректной и вводящей в заблуждение потребителей, поскольку была выполнена мелким, нечитаемым шрифтом, занимала лишь 6% площади кадра и демонстрировалась всего в течение 2 секунд. Соответственно, потребители не получают информацию о критериях сравнения, на основании которых утверждается о превосходстве продукции «Коркунов» над продукцией других производителей, что искажает смысл рекламы и вводит потребителей в заблуждение.","В соответствии с п.ом 1 ч.  2 ст. 5 Федерального закона «О рекламе» недобросовестной признается реклама, которая содержит некорректные сравнения рекламируемого товара с находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами.","Признана ненадлежащей, выдано предписание о прекращении нарушения законодательства о рекламе и наложен административный штраф в размере 100 000 рублей ","Верное: Фраза ""Бренд №1"" указывает на превосходство продукции. Однако информация о критериях сравнения рекламируемого товара с другими написана мелким шрифтом, что искажает смысл рекламы и вводит потребителей в заблуждение, нарушая п. 1 ч. 2 ст. 5 ФЗ ""О рекламе"".","Неверное: Реклама содержит не соответствующую действительности информацию о превосходстве над конкурентами (""Бренд №1""), что нарушает п. 1 ч. 3 ст. 5 ФЗ ""О рекламе"".","В рекламе содержится утверждение «Бренд №1», которое указывает на превосходство продукции этого производителя в сравнении с другими товарами. Однако важная информация о критериях такого сравнения выполнена мелким, нечитаемым шрифтом, поэтому потребители не получают ее. Это является нарушением п. 1 ч. 2 ст. 5 ФЗ ""О рекламе"". В результате судебного разбирательства был наложен штраф в размере 100 000 рублей.
Подробнее о деле: https://goo.su/UVSc"
3-00-45/00-08-14,15 октября 2014,,недобросовестная реклама ,"Екатеринбург, Тюмень","В рекламе содержится некорректное сравнение молока ООО «Талицкий молочный завод» с молоком иных производителей по критерию натуральности путем утверждения: «Натуральное долго не хранится» и указания на срок его хранения 5 суток. Из рекламы следует, что молоко ООО «Талицкий молочный завод» со сроком годности 5 суток сравнивается по критерию натуральности с молоком, срок хранения которого более 5 суток. Однако из норм ФЗ от 12.06.2008 N 88-ФЗ «Технический регламент на молоко и молочную продукцию» и Санитарно-эпидемиологических правил и нормативов 2.3.2.1293-03 «Гигиенические требования по применению пищевых добавок» следует, что все молоко, независимо от способа термической обработки и срока годности, является натуральным и в его производстве не используются консерванты и сухое молоко.","Согласно п.у 1 ч.  2 ст. 5 недобросовестной признаётся реклама, которая содержит некорректные сравнения рекламируемого товара с находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами.","Признана ненадлежащей, выдано предписание о прекращении нарушения законодательства о рекламе и наложен административный штраф в размере 300 000 рублей ","Верное: Рекламируемое молоко со сроком годности 5 суток сравнивается по критерию натуральности с молоком, срок хранения которого более 5 суток. Однако натуральность молока не зависит от срока годности. Таким образом, реклама нарушает п. 1 ч. 2 ст. 5 ФЗ ""О рекламе"".","Неверное: На рекламном билборде не указана часть существенной информации о рекламируемом товаре, что приводит к искажению информации и нарушает ч. 7 ст. 5 ФЗ ""О рекламе"".","В материале содержится некорректное сравнение молока рекламируемой фирмы с молоком иных производителей по критерию натуральности путем утверждения: «Натуральное долго не хранится» и указания на срок годности 5 суток. Однако молоко, независимо от срока годности, является натуральным. Некорректное сравнение рекламируемого товара с другими запрещается п. 1 ч. 2 ст. 5 ФЗ ""О рекламе"". На рекламодателя был наложен штраф в размере 300 000 рублей.
Подробнее о деле: https://goo.su/qxe6
"
"N 022/04/14.3-829/2019
",17 октября 2019,,недобросовестная реклама,Алтайский край,"Реклама с указанием на оригинальность пельменей «Бийские», производителем которых является ИП, способствует формированию негативного отношения к пельменям других производителей, так как содержит некорректное сравнение, выполненное в форме противопоставления «оригинальное-копия» без упоминания конкретных сравнительных параметров. ","В соответствии с п. 1 ч. 2 ст. 5 Федерального закона «О рекламе» недобросовестной признается реклама, которая содержит некорректные сравнения рекламируемого товара с находящимися в обороте товарами, которые произведены другими производителями или реализуются другими продавцами.","Признать ИП виновным в совершении административного правонарушения, ответственность за которое предусмотрена ч. 1 ст. 14.3 КоАП РФ, и назначить ему наказание в виде предупреждения.
","Верное: Рекламируемый товар содержит сравнение посредством использования противопоставления ""оригинальное - копия"" без указания на конкретные критерии сравнения. Это является нарушением п. 1 ч. 2 ст. 5 ФЗ ""О рекламе"".","Неверное: В рекламе присутствует намек на то, что люди, не потребляющие продукцию ""Бийских пельменей"", покупают ""копию"", тем самым формируя негативное отношение к лицам, не пользующимся рекламируемым товаром, что нарушает п. 4 ч. 4 ст. 5 ФЗ ""О рекламе"".","Реклама с указанием на превосходство пельменей «Бийские» содержит некорректное сравнение, выполненное в форме противопоставления «оригинальное-копия» без упоминания конкретных сравнительных параметров, что является нарушением п. 1 ч. 2 ст. 5 ФЗ «О рекламе». За несоблюдение законодательства было назначено наказание в виде предупреждения.
Подробнее о деле: https://goo.su/RHoN
"
№68/04/14.3-628/2019,20.08.2019,,недостоверная реклама,Тамбов,"Мебельный магазин ""Мастар"" не предоставил никаких доказательств о преимуществе своего товара перед другими товарами рынка.","Согласно п.у 1 ч.  3 ст. 5 Федерального закона от 13 марта 2006 года N 38-ФЗ ""О рекламе"" (далее - Закон о рекламе) недостоверной признается реклама, которая содержит не соответствующие действительности сведения о преимуществах рекламируемого товара перед находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами.
",Реклама магазина «Мир мебели» признана ненадлежащей. Привлечь ИП к административной ответственности по ч.  1 ст. 14.3 КоАП РФ и подвергнуть административному наказанию в виде предупреждения.,"Верное- Реклама проецирует преимущество и превосходство своего товара без какой-либо отсылки на достоверный источник. Таким образом, реклама является недостоверной и нарушает п. 1 ч. 3 ст. 5 ФЗ ""О рекламе"".","Неверное: В данном случае реклама не содержит информацию о расположении магазина ""Мир Мебели"", о контактах руководителя, а это вводит потребителей в заблуждение и нарушает ч. 7 ст. 5 ФЗ ""О рекламе"", так как в рекламе не хватает части существенной информации. ","Мебельный магазин ""Мастар"" не предоставил никаких доказательств о преимуществе своего товара перед другими товарами рынка. Реклама нарушает п. 1 ч. 3 ст. 5 ФЗ ""О рекламе"".
Подробнее о деле: https://goo.su/x1mz"
N 02-03/95-2018,20.11.2018,,недостоверная реклама,Тульская область,"Не содержит соответствующие
действительности сведения о преимуществах
рекламируемого товара перед другими товарами рынка","""В соответствии с п.ом 1 ч.  3 ст. 5 Федерального закона «О рекламе»
недостоверной признается реклама, которая
содержит не соответствующие действительности
сведения о преимуществах рекламируемого
товара перед находящимися в
обороте товарами, которые
произведены другими
изготовителями или реализуются
другими продавцами.
Согласно п.у 29 постановления
Пленума Высшего Арбитражного""","Ведомство возбудило дело по признакам нарушения ч.  7 ст. 5 Закона о рекламе. В случае если нарушение будет доказано, компания может получить штраф в соответствии со ст.й 14.3 КоАП РФ в размере от 100 тыс. до 500 тыс. рублей.","Верное: Реклама содержит фразу: ""Первый мебельный"", которая указывает на преимущество товаров магазина перед другими товарами рынка.","Неверное: Реклама не содержит сведений об ассортименте магазина, о комплектации товаров, а также о возможности их приобретения в определенном месте или в течение определенного срока.
","Реклама не содержит соответствующие действительности сведения о преимуществах рекламируемого товара перед другими товарами рынка. Нарушает п. 1 ч. 3 ст. 5 ФЗ ""О рекламе"".
Подробнее о деле: https://goo.su/lzWBG7"
N 077/05/5-13075/2020,27.10.2020,"""ДЕШЕВЛЕ ТОЛЬКО ДАРОМ. Для Вас спецпредложение. От Бритва.рф!"" в системе ""Я.Директ"" по адресу rbc.ru/short_news.",недостоверная реклама,Москва,Содержит не соответствующие действительности сведения о преимуществах рекламируемого товара перед находящимися в обороте товарами,"В соответствии с п.ом 1 ч.  3 ст. 5 Закона о рекламе, недостоверной признается реклама, которая содержит не соответствующие действительности сведения о преимуществах рекламируемого товара перед находящимися в обороте товарами, которые произведены другими изготовителями или реализуются другими продавцами.
Согласно представленным сведениям, в иных интернет-магазинах заявителем были найдены рекламируемые товары по цене дешевле, чем в на сайте бритва.рф.
","Возбудить производство по делу N 077/05/5-13075/2020 по признакам нарушения законодательства Российской Федерации о рекламе, а именно п. 1 ч.  3 ст. 5 Закона о рекламе.
","Верное: Фраза ""ДЕШЕВЛЕ ТОЛЬКО ДАРОМ"" указывает на то, что сайт ""бритва.рф"" имеет самые низкие цены на рынке. Это демонстирует преимущество перед остальными находящимися в обороте товарами.","Неверное: Реклама содержит фразу ""ДЕШЕВЛЕ ТОЛЬКО ДАРОМ"", написанную заглавными буквами. Это затрудняет чтение рекламы потребителями.","Содержит не соответствующие действительности сведения о преимуществах рекламируемого товара перед находящимися в обороте товарами. Нарушает п. 1 ч. 3 ст. 5 ФЗ ""О рекламе"".
Подробнее о деле: https://goo.su/SZSq
"
N 077/05/5-12770/2020,17.09.2020,"Реклама ""Самый большой выбор товаров для бассейна. Интернет-магазин aquapolis.ru"". ",недостоверная реклама,Москва,Содержит не соответствующие действительности сведения о преимуществах рекламируемого товара перед находящимися в обороте товарами,"При распространении рекламы ""Самый большой выбор товаров для бассейна. Интернет-магазин aquapolis.ru"" усматриваются признаки нарушения п. 1 ч.  3 ст. 5 Закона о рекламе, выразившиеся в распространении рекламы, которая содержит не соответствующие действительности сведения о преимуществах интернет-магазина aquapolis.ru и реализуемого им товара с иными конкурентами.
","Возбудить производство по делу N 077/05/5-12770/2020 по признакам нарушения законодательства Российской Федерации о рекламе, а именно п. 1 ч.  3 ст. 5 Закона о рекламе.
","Верное: Фраза ""Самый большой выбор товаров для бассейна"" указывает на преимущество интернет-магазина ""aquapolis.ru"" перед конкурентами. ","Неверное: В рекламе отсутствуют сведения о ценах на товары, о количестве товара и о местоположении магазина.","Содержит не соответствующие действительности сведения о преимуществах рекламируемого товара перед находящимися в обороте товарами. Реклама нарушает п.1 ч. 3 ст. 5 ФЗ ""О рекламе"".
Подробнее о деле: https://goo.su/tukuKA
"
